条目,type,assetId,形态/皮肤名(官方),appellation,skinGroupId,skinGroupName,sortTags,文件,文件数,成功数,总字节,源码仓库
002_amiya,Operator,build_char_002_amiya,阿米娅,Amiya,DEFAULT,默认服装,"Operator,Rarity_5","build_char_002_amiya.atlas,build_char_002_amiya.png,build_char_002_amiya.skel",3,3,270376,https://github.com/isHarryh/Ark-Models/tree/main/models/002_amiya
002_amiya_winter#1,Operator,build_char_002_amiya_winter#1,阿米娅,Amiya,2018#sale,忒斯特收藏/I,"Operator,Rarity_5,Skinned","build_char_002_amiya_winter#1.atlas,build_char_002_amiya_winter#1.png,build_char_002_amiya_winter#1.skel",3,3,366601,https://github.com/isHarryh/Ark-Models/tree/main/models/002_amiya_winter%231
002_amiya_epoque#4,Operator,build_char_002_amiya_epoque#4,阿米娅,Amiya,2020#sale,忒斯特收藏/II,"Operator,Rarity_5,Skinned","build_char_002_amiya_epoque#4.atlas,build_char_002_amiya_epoque#4.png,build_char_002_amiya_epoque#4.skel",3,3,479169,https://github.com/isHarryh/Ark-Models/tree/main/models/002_amiya_epoque%234
002_amiya_test#1,Operator,build_char_002_amiya_test#1,阿米娅,Amiya,2020#sale#3,忒斯特收藏/IV,"Operator,Rarity_5,Skinned","build_char_002_amiya_test#1.atlas,build_char_002_amiya_test#1.png,build_char_002_amiya_test#1.skel",3,3,1002847,https://github.com/isHarryh/Ark-Models/tree/main/models/002_amiya_test%231
1037_amiya3_sale#13,Operator,build_char_1037_amiya3_sale#13,阿米娅,Amiya,2024#sale#4,忒斯特收藏/XIV,"Operator,Rarity_5,Skinned","build_char_1037_amiya3_sale#13.atlas,build_char_1037_amiya3_sale#13.png,build_char_1037_amiya3_sale#13.skel",3,3,1544061,https://github.com/isHarryh/Ark-Models/tree/main/models/1037_amiya3_sale%2313
1001_amiya2_sale#16,Operator,build_char_1001_amiya2_sale#16,阿米娅,Amiya,2025#sale#4,忒斯特收藏/XVIII,"Operator,Rarity_5,Skinned","build_char_1001_amiya2_sale#16.atlas,build_char_1001_amiya2_sale#16.png,build_char_1001_amiya2_sale#16.skel",3,3,1323156,https://github.com/isHarryh/Ark-Models/tree/main/models/1001_amiya2_sale%2316
1001_amiya2_casc#1,Operator,build_char_1001_amiya2_casc#1,阿米娅,Amiya,2023#casc,CASC,"Operator,Rarity_5,Skinned","build_char_1001_amiya2_casc#1.atlas,build_char_1001_amiya2_casc#1.png,build_char_1001_amiya2_casc#1.skel",3,3,778902,https://github.com/isHarryh/Ark-Models/tree/main/models/1001_amiya2_casc%231
1037_amiya3,Operator,build_char_1037_amiya3,阿米娅,Amiya,ILLUST_2,默认服装,"Operator,Rarity_5,Skinned","build_char_1037_amiya3.atlas,build_char_1037_amiya3.png,build_char_1037_amiya3.skel",3,3,591123,https://github.com/isHarryh/Ark-Models/tree/main/models/1037_amiya3
dyn_illust_1001_amiya2_sale#16,DynIllust,dyn_illust_1001_amiya2_sale#16,阿米娅,Amiya,2025#sale#4,忒斯特收藏/XVIII,"Operator,Rarity_5,Skinned,DynIllust","dyn_illust_char_1001_amiya2_sale#16.atlas,dyn_illust_char_1001_amiya2_sale#16.png,dyn_illust_char_1001_amiya2_sale#16.skel",3,3,6423238,https://github.com/isHarryh/Ark-Models/tree/main/models_illust/dyn_illust_1001_amiya2_sale%2316
dyn_illust_1037_amiya3_sale#13,DynIllust,dyn_illust_1037_amiya3_sale#13,阿米娅,Amiya,2024#sale#4,忒斯特收藏/XIV,"Operator,Rarity_5,Skinned,DynIllust","dyn_illust_char_1037_amiya3_sale#13.atlas,dyn_illust_char_1037_amiya3_sale#13.png,dyn_illust_char_1037_amiya3_sale#13.skel",3,3,5500945,https://github.com/isHarryh/Ark-Models/tree/main/models_illust/dyn_illust_1037_amiya3_sale%2313
